Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.632.424; 161.638;   8.249;   1.366
Sjælland; 684.494;  44.001;   2.799;     413
Syddanmark;1.021.832;  48.670;   2.038;     230
Midtjylland;1.117.228;  62.799;   2.509;     367
Nordjylland; 514.345;  26.075;   1.080;     193
