Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 115.836 (49); 122.627 (51); 238.463
10-19; 177.162 (50); 177.220 (50); 354.382
20-29; 145.059 (51); 136.648 (49); 281.707
30-39; 143.913 (53); 126.634 (47); 270.547
40-49; 139.368 (53); 123.448 (47); 262.816
50-59;  95.376 (51);  92.475 (49); 187.851
60-69;  48.113 (50);  47.671 (50);  95.784
70-79;  24.231 (50);  24.607 (50);  48.838
80-89;   9.682 (55);   7.895 (45);  17.577
90+;   3.201 (69);   1.425 (31);   4.626
I alt; 901.956 (51); 860.671 (49);1.762.628
