Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.621.999; 153.495;   7.987;   1.353
Sjælland; 679.636;  42.408;   2.731;     408
Syddanmark;1.013.930;  45.790;   1.949;     227
Midtjylland;1.108.616;  59.399;   2.414;     364
Nordjylland; 511.645;  24.736;   1.035;     192
