Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.634.698; 163.177;   8.311;   1.369
Sjælland; 685.772;  44.320;   2.811;     414
Syddanmark;1.023.628;  49.048;   2.050;     231
Midtjylland;1.118.954;  63.294;   2.526;     368
Nordjylland; 514.922;  26.238;   1.092;     194
