Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 159.214 (49); 168.683 (51); 327.897
10-19; 242.803 (50); 242.436 (50); 485.239
20-29; 230.083 (53); 206.741 (47); 436.824
30-39; 226.347 (53); 199.246 (47); 425.593
40-49; 223.123 (53); 194.892 (47); 418.015
50-59; 183.844 (52); 167.568 (48); 351.412
60-69; 112.141 (52); 104.033 (48); 216.174
70-79;  64.321 (50);  63.768 (50); 128.089
80-89;  23.500 (53);  20.588 (47);  44.088
90+;   6.910 (69);   3.074 (31);   9.984
I alt;1.472.305 (52);1.371.055 (48);2.843.361
