Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  53.427 (48);  56.757 (52); 110.184
10-19;  88.748 (50);  87.258 (50); 176.006
20-29;  97.680 (50);  97.076 (50); 194.756
30-39;  74.660 (51);  70.908 (49); 145.568
40-49;  74.962 (52);  68.705 (48); 143.667
50-59;  58.873 (50);  59.388 (50); 118.261
60-69;  29.897 (49);  31.380 (51);  61.277
70-79;  16.929 (50);  17.046 (50);  33.975
80-89;   7.223 (55);   5.819 (45);  13.042
90+;   2.238 (68);   1.035 (32);   3.273
I alt; 504.637 (50); 495.372 (50);1.000.009
