Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 165.676 (49); 175.680 (51); 341.356
10-19; 259.355 (50); 257.269 (50); 516.624
20-29; 250.855 (53); 224.196 (47); 475.051
30-39; 242.598 (53); 211.744 (47); 454.342
40-49; 238.063 (54); 205.447 (46); 443.510
50-59; 195.206 (53); 176.502 (47); 371.708
60-69; 118.572 (52); 109.282 (48); 227.854
70-79;  68.248 (50);  67.486 (50); 135.734
80-89;  25.020 (53);  21.943 (47);  46.963
90+;   7.378 (69);   3.251 (31);  10.629
I alt;1.570.994 (52);1.452.825 (48);3.023.820
