Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.860 (49);  15.715 (51);  30.575
10-19;  31.393 (49);  32.419 (51);  63.812
20-29;  38.313 (49);  40.071 (51);  78.384
30-39;  25.989 (50);  25.937 (50);  51.926
40-49;  26.791 (53);  24.080 (47);  50.871
50-59;  22.899 (51);  22.283 (49);  45.182
60-69;  11.374 (49);  12.070 (51);  23.444
70-79;   6.767 (49);   6.923 (51);  13.690
80-89;   3.831 (57);   2.853 (43);   6.684
90+;   1.440 (71);     599 (29);   2.039
I alt; 183.657 (50); 182.950 (50); 366.607
