Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.915 (49);  15.762 (51);  30.677
10-19;  31.467 (49);  32.467 (51);  63.934
20-29;  38.358 (49);  40.116 (51);  78.474
30-39;  26.034 (50);  25.966 (50);  52.000
40-49;  26.845 (53);  24.135 (47);  50.980
50-59;  22.942 (51);  22.329 (49);  45.271
60-69;  11.406 (49);  12.094 (51);  23.500
70-79;   6.789 (49);   6.942 (51);  13.731
80-89;   3.840 (57);   2.858 (43);   6.698
90+;   1.441 (71);     601 (29);   2.042
I alt; 184.037 (50); 183.270 (50); 367.307
