Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.620.214; 151.779;   7.934;   1.351
Sjælland; 678.837;  41.936;   2.723;     406
Syddanmark;1.012.620;  45.144;   1.933;     227
Midtjylland;1.107.121;  58.416;   2.386;     363
Nordjylland; 511.139;  24.302;   1.030;     191
