Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.540.846; 117.499;   6.998;   1.320
Sjælland; 642.239;  33.759;   2.429;     402
Syddanmark; 958.967;  35.501;   1.706;     218
Midtjylland;1.046.038;  42.837;   2.058;     352
Nordjylland; 491.525;  16.784;     882;     183
I alt i Danmark;4.679.615; 246.380;  14.073;   2.475
