Dato;AG_testede;AG_pos;AGpos_PCRkonf;Andel_AGpos_PCRkonf_pct;AGpos_minusPCRkonf;Andel_AGminusPCRkonf_pct;AGpos_PCRpos;AGposPCRneg;AGnegPCRpos;AGnegPCRneg
2021-03-19;91762;148;125;84,4594594594595;23;15,5405405405405;77;45;71;4214
2021-03-20;57199;136;116;85,2941176470588;20;14,7058823529412;81;33;94;3628
2021-03-21;89812;207;174;84,0579710144928;33;15,9420289855072;120;53;126;5425
2021-03-22;133346;236;194;82,2033898305085;42;17,7966101694915;121;69;135;6694
2021-03-23;138281;200;174;87;26;13;113;59;135;6497
2021-03-24;120317;197;160;81,2182741116751;37;18,7817258883249;111;46;140;6398
2021-03-25;144908;234;178;76,0683760683761;56;23,9316239316239;124;51;143;7155
2021-03-26;131282;178;145;81,4606741573034;33;18,5393258426966;98;44;125;6159
2021-03-27;65462;161;136;84,472049689441;25;15,527950310559;103;32;91;4332
2021-03-28;63477;159;132;83,0188679245283;27;16,9811320754717;97;33;106;4677
2021-03-29;104851;256;226;88,28125;30;11,71875;153;72;149;6730
2021-03-30;113681;243;202;83,1275720164609;41;16,8724279835391;142;57;126;6305
2021-03-31;92856;146;129;88,3561643835617;17;11,6438356164384;89;39;65;4678
2021-04-01;101511;205;180;87,8048780487805;25;12,1951219512195;120;55;127;6198
2021-04-02;95081;200;172;86;28;14;109;58;84;6576
2021-04-03;82179;191;165;86,3874345549738;26;13,6125654450262;99;60;78;5867
2021-04-04;97306;167;149;89,2215568862276;18;10,7784431137725;93;53;107;6538
2021-04-05;191855;284;252;88,7323943661972;32;11,2676056338028;135;111;116;11798
2021-04-06;209362;286;253;88,4615384615385;33;11,5384615384615;145;103;122;11231
2021-04-07;186678;264;232;87,8787878787879;32;12,1212121212121;128;102;145;9928
2021-04-08;229881;263;223;84,7908745247148;40;15,2091254752852;145;73;158;11977
2021-04-09;186774;207;180;86,9565217391305;27;13,0434782608696;113;65;83;9763
2021-04-10;90753;155;133;85,8064516129032;22;14,1935483870968;87;45;94;5266
2021-04-11;159163;212;191;90,0943396226415;21;9,90566037735849;112;77;104;8786
2021-04-12;270622;306;272;88,8888888888889;34;11,1111111111111;151;118;170;13508
2021-04-13;220702;253;225;88,9328063241107;28;11,0671936758893;123;101;151;10585
2021-04-14;205971;248;209;84,2741935483871;39;15,7258064516129;130;78;154;10353
2021-04-15;249206;319;267;83,6990595611285;52;16,3009404388715;157;104;144;13356
2021-04-16;198706;248;200;80,6451612903226;48;19,3548387096774;110;88;135;10593
2021-04-17;75469;156;131;83,974358974359;25;16,025641025641;93;38;97;4665
2021-04-18;145700;265;247;93,2075471698113;18;6,79245283018868;155;89;152;7942
2021-04-19;278583;312;276;88,4615384615385;36;11,5384615384615;151;122;166;12094
2021-04-20;249830;292;262;89,7260273972603;30;10,2739726027397;147;110;144;11780
2021-04-21;265316;281;257;91,4590747330961;24;8,54092526690392;136;119;150;14048
2021-04-22;331885;261;239;91,5708812260536;22;8,42911877394636;114;123;125;16173
2021-04-23;293584;235;212;90,2127659574468;23;9,78723404255319;109;101;113;13647
