Dato;AG_testede;AG_pos;AGpos_PCRkonf;Andel_AGpos_PCRkonf_pct;AGpos_minusPCRkonf;Andel_AGminusPCRkonf_pct;AGpos_PCRpos;AGposPCRneg;AGnegPCRpos;AGnegPCRneg
2021-02-01;4818;8;4;50;4;50;2;2;2;293
2021-02-02;4636;8;5;62,5;3;37,5;5;0;5;308
2021-02-03;4859;9;5;55,5555555555556;4;44,4444444444444;5;0;6;343
2021-02-04;4487;4;2;50;2;50;2;0;5;322
2021-02-05;4355;7;5;71,4285714285714;2;28,5714285714286;4;1;6;280
2021-02-06;2581;8;6;75;2;25;6;0;3;262
2021-02-07;3014;11;7;63,6363636363636;4;36,3636363636364;7;0;6;326
2021-02-08;6966;11;6;54,5454545454545;5;45,4545454545455;6;0;5;439
2021-02-09;6075;6;4;66,6666666666667;2;33,3333333333333;4;0;5;390
2021-02-10;7061;13;5;38,4615384615385;8;61,5384615384615;4;1;1;498
2021-02-11;9100;11;6;54,5454545454545;5;45,4545454545455;5;1;3;537
2021-02-12;9164;9;4;44,4444444444444;5;55,5555555555556;3;1;4;477
2021-02-13;4829;13;7;53,8461538461539;6;46,1538461538462;6;1;6;339
2021-02-14;4784;13;9;69,2307692307692;4;30,7692307692308;7;2;9;435
2021-02-15;17119;48;24;50;24;50;17;7;25;1155
2021-02-16;16891;59;44;74,5762711864407;15;25,4237288135593;33;10;19;1340
2021-02-17;26107;85;52;61,1764705882353;33;38,8235294117647;43;9;20;2014
2021-02-18;30020;51;40;78,4313725490196;11;21,5686274509804;33;4;30;1803
2021-02-19;34122;86;54;62,7906976744186;32;37,2093023255814;42;12;37;1829
2021-02-20;21613;62;41;66,1290322580645;21;33,8709677419355;33;8;36;1624
2021-02-21;20227;94;66;70,2127659574468;28;29,7872340425532;59;4;41;1693
2021-02-22;25675;82;62;75,609756097561;20;24,390243902439;45;15;27;1901
2021-02-23;29525;100;70;70;30;30;58;10;34;2047
2021-02-24;29761;91;57;62,6373626373626;34;37,3626373626374;43;12;33;2122
2021-02-25;28351;85;53;62,3529411764706;32;37,6470588235294;44;9;20;1630
2021-02-26;36204;77;49;63,6363636363636;28;36,3636363636364;35;14;41;1826
2021-02-27;22461;71;49;69,0140845070423;22;30,9859154929577;43;6;17;1560
2021-02-28;24311;93;68;73,1182795698925;25;26,8817204301075;55;13;29;1974
2021-03-01;35310;73;56;76,7123287671233;17;23,2876712328767;37;17;17;2206
2021-03-02;38226;90;73;81,1111111111111;17;18,8888888888889;47;24;25;2082
2021-03-03;43990;105;73;69,5238095238095;32;30,4761904761905;36;37;43;3336
2021-03-04;56203;178;147;82,5842696629213;31;17,4157303370787;48;95;31;3609
2021-03-05;64466;168;133;79,1666666666667;35;20,8333333333333;44;88;55;4107
2021-03-06;38463;132;102;77,2727272727273;30;22,7272727272727;51;51;59;3055
2021-03-07;40327;204;167;81,8627450980392;37;18,1372549019608;58;105;61;3522
2021-03-08;64220;233;200;85,8369098712447;33;14,1630901287554;79;121;79;3929
2021-03-09;62908;190;169;88,9473684210526;21;11,0526315789474;62;106;65;3416
2021-03-10;58021;236;199;84,3220338983051;37;15,6779661016949;78;121;66;3847
2021-03-11;59157;170;148;87,0588235294118;22;12,9411764705882;51;97;43;3532
2021-03-12;60410;168;130;77,3809523809524;38;22,6190476190476;34;96;31;2975
2021-03-13;55891;152;119;78,2894736842105;33;21,7105263157895;56;60;64;3355
2021-03-14;72843;177;146;82,4858757062147;31;17,5141242937853;50;95;83;4151
2021-03-15;110830;262;226;86,2595419847328;36;13,7404580152672;107;114;105;5679
2021-03-16;116835;268;225;83,955223880597;43;16,044776119403;107;118;107;5324
2021-03-17;103584;197;155;78,6802030456853;42;21,3197969543147;83;66;105;5788
2021-03-18;124394;223;178;79,8206278026906;45;20,1793721973094;120;56;103;6219
