Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 147.361 (49); 155.886 (51); 303.247
10-19; 223.927 (50); 224.122 (50); 448.049
20-29; 197.235 (52); 179.146 (48); 376.381
30-39; 194.522 (53); 170.129 (47); 364.651
40-49; 187.556 (53); 164.598 (47); 352.154
50-59; 137.650 (52); 128.706 (48); 266.356
60-69;  75.166 (51);  71.840 (49); 147.006
70-79;  38.070 (50);  38.768 (50);  76.838
80-89;  14.247 (54);  12.068 (46);  26.315
90+;   4.564 (69);   2.008 (31);   6.572
I alt;1.220.315 (52);1.147.295 (48);2.367.611
