Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.621.524; 153.060;   7.977;   1.352
Sjælland; 679.412;  42.284;   2.729;     407
Syddanmark;1.013.581;  45.656;   1.943;     227
Midtjylland;1.108.253;  59.176;   2.410;     364
Nordjylland; 511.523;  24.626;   1.034;     191
