Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.339 (48);  15.242 (52);  29.581
10-19;  30.758 (49);  31.835 (51);  62.593
20-29;  37.865 (49);  39.673 (51);  77.538
30-39;  25.532 (50);  25.509 (50);  51.041
40-49;  26.332 (53);  23.653 (47);  49.985
50-59;  22.601 (51);  22.021 (49);  44.622
60-69;  11.182 (49);  11.866 (51);  23.048
70-79;   6.634 (50);   6.764 (50);  13.398
80-89;   3.772 (57);   2.810 (43);   6.582
90+;   1.429 (71);     594 (29);   2.023
I alt; 180.444 (50); 179.967 (50); 360.411
