Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 152.585 (49); 161.654 (51); 314.239
10-19; 232.232 (50); 232.154 (50); 464.386
20-29; 210.369 (53); 190.269 (47); 400.638
30-39; 207.197 (53); 181.714 (47); 388.911
40-49; 201.336 (53); 176.552 (47); 377.888
50-59; 153.300 (52); 142.316 (48); 295.616
60-69;  86.743 (51);  81.882 (49); 168.625
70-79;  45.584 (50);  46.044 (50);  91.628
80-89;  16.792 (54);  14.465 (46);  31.257
90+;   5.203 (69);   2.303 (31);   7.506
I alt;1.311.359 (52);1.229.378 (48);2.540.738
