Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.607.729; 143.329;   7.760;   1.347
Sjælland; 673.487;  40.230;   2.670;     406
Syddanmark;1.004.294;  42.154;   1.869;     224
Midtjylland;1.097.441;  53.468;   2.323;     360
Nordjylland; 508.219;  22.269;   1.018;     191
