Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.618.211; 150.013;   7.888;   1.350
Sjælland; 677.842;  41.549;   2.714;     406
Syddanmark;1.011.224;  44.393;   1.913;     226
Midtjylland;1.105.429;  57.401;   2.371;     363
Nordjylland; 510.500;  23.759;   1.026;     191
