Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 159.270 (49); 168.755 (51); 328.025
10-19; 242.956 (50); 242.587 (50); 485.543
20-29; 230.493 (53); 207.056 (47); 437.549
30-39; 226.718 (53); 199.566 (47); 426.284
40-49; 223.616 (53); 195.268 (47); 418.884
50-59; 184.538 (52); 168.178 (48); 352.716
60-69; 112.833 (52); 104.583 (48); 217.416
70-79;  64.859 (50);  64.291 (50); 129.150
80-89;  23.721 (53);  20.783 (47);  44.504
90+;   6.962 (69);   3.091 (31);  10.053
I alt;1.475.985 (52);1.374.184 (48);2.850.170
