Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 159.129 (49); 168.610 (51); 327.739
10-19; 242.639 (50); 242.258 (50); 484.897
20-29; 229.574 (53); 206.365 (47); 435.939
30-39; 225.949 (53); 198.836 (47); 424.785
40-49; 222.609 (53); 194.439 (47); 417.048
50-59; 182.981 (52); 166.868 (48); 349.849
60-69; 111.384 (52); 103.405 (48); 214.789
70-79;  63.699 (50);  63.192 (50); 126.891
80-89;  23.272 (53);  20.331 (47);  43.603
90+;   6.858 (69);   3.047 (31);   9.905
I alt;1.468.112 (52);1.367.377 (48);2.835.490
