Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 128.097 (49); 135.503 (51); 263.600
10-19; 194.228 (50); 194.965 (50); 389.193
20-29; 157.622 (52); 146.470 (48); 304.092
30-39; 159.948 (53); 139.727 (47); 299.675
40-49; 155.147 (53); 136.642 (47); 291.789
50-59; 107.124 (51); 102.632 (49); 209.756
60-69;  54.949 (51);  53.848 (49); 108.797
70-79;  27.488 (50);  27.931 (50);  55.419
80-89;  10.734 (55);   8.856 (45);  19.590
90+;   3.548 (69);   1.592 (31);   5.140
I alt; 998.901 (51); 948.189 (49);1.947.091
