Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  15.862 (49);  16.688 (51);  32.550
10-19;  32.655 (49);  33.542 (51);  66.197
20-29;  39.501 (49);  41.183 (51);  80.684
30-39;  27.210 (50);  27.018 (50);  54.228
40-49;  28.131 (53);  25.313 (47);  53.444
50-59;  23.807 (51);  23.222 (49);  47.029
60-69;  12.043 (49);  12.643 (51);  24.686
70-79;   7.349 (49);   7.509 (51);  14.858
80-89;   4.002 (57);   3.036 (43);   7.038
90+;   1.469 (71);     613 (29);   2.082
I alt; 192.029 (50); 190.767 (50); 382.796
