Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  73.845 (49);  78.263 (51); 152.108
10-19; 116.691 (50); 115.364 (50); 232.055
20-29; 112.402 (51); 109.614 (49); 222.016
30-39;  95.769 (52);  88.215 (48); 183.984
40-49;  92.205 (52);  83.592 (48); 175.797
50-59;  68.370 (50);  68.025 (50); 136.395
60-69;  34.309 (49);  35.281 (51);  69.590
70-79;  18.529 (50);  18.691 (50);  37.220
80-89;   7.807 (55);   6.296 (45);  14.103
90+;   2.462 (69);   1.132 (31);   3.594
I alt; 622.402 (51); 604.493 (49);1.226.895
