Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.626.731; 157.334;   8.119;   1.357
Sjælland; 682.053;  43.263;   2.764;     410
Syddanmark;1.017.855;  47.373;   2.000;     228
Midtjylland;1.113.255;  61.408;   2.469;     366
Nordjylland; 513.016;  25.592;   1.058;     192
