Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.602.441; 140.055;   7.710;   1.346
Sjælland; 671.359;  39.703;   2.660;     406
Syddanmark;1.000.390;  41.380;   1.863;     223
Midtjylland;1.093.026;  52.030;   2.302;     359
Nordjylland; 507.220;  21.985;   1.016;     191
