Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 157.691 (49); 166.951 (51); 324.642
10-19; 239.630 (50); 239.334 (50); 478.964
20-29; 223.697 (53); 201.461 (47); 425.158
30-39; 220.331 (53); 193.568 (47); 413.899
40-49; 215.716 (53); 188.577 (47); 404.293
50-59; 172.913 (52); 158.555 (48); 331.468
60-69; 102.871 (52);  96.027 (48); 198.898
70-79;  56.971 (50);  56.885 (50); 113.856
80-89;  20.867 (53);  18.164 (47);  39.031
90+;   6.252 (69);   2.764 (31);   9.016
I alt;1.416.957 (52);1.322.312 (48);2.739.270
