Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.610.054; 144.594;   7.777;   1.347
Sjælland; 674.453;  40.455;   2.675;     406
Syddanmark;1.005.944;  42.466;   1.878;     225
Midtjylland;1.099.572;  54.050;   2.326;     360
Nordjylland; 508.641;  22.385;   1.020;     191
