Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 156.094 (49); 165.256 (51); 321.350
10-19; 237.231 (50); 236.976 (50); 474.207
20-29; 219.539 (53); 197.994 (47); 417.533
30-39; 216.113 (53); 189.739 (47); 405.852
40-49; 210.742 (53); 184.513 (47); 395.255
50-59; 166.001 (52); 152.739 (48); 318.740
60-69;  96.915 (52);  90.882 (48); 187.797
70-79;  52.577 (50);  52.768 (50); 105.345
80-89;  19.346 (54);  16.696 (46);  36.042
90+;   5.853 (69);   2.605 (31);   8.458
I alt;1.380.429 (52);1.290.194 (48);2.670.624
