Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.599.847; 139.119;   7.699;   1.346
Sjælland; 670.296;  39.546;   2.656;     406
Syddanmark; 998.945;  41.102;   1.862;     223
Midtjylland;1.091.395;  51.627;   2.297;     359
Nordjylland; 506.782;  21.879;   1.015;     191
