Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.611.989; 145.760;   7.806;   1.347
Sjælland; 675.202;  40.672;   2.681;     406
Syddanmark;1.007.061;  42.775;   1.885;     225
Midtjylland;1.100.920;  54.669;   2.333;     360
Nordjylland; 508.994;  22.531;   1.020;     191
