Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.614.189; 146.987;   7.826;   1.348
Sjælland; 676.110;  40.920;   2.690;     406
Syddanmark;1.008.525;  43.192;   1.892;     225
Midtjylland;1.102.627;  55.412;   2.344;     360
Nordjylland; 509.396;  22.741;   1.021;     191
