Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  37.245 (49);  39.349 (51);  76.594
10-19;  58.864 (50);  58.727 (50); 117.591
20-29;  62.628 (50);  63.111 (50); 125.739
30-39;  48.576 (51);  46.154 (49);  94.730
40-49;  51.309 (52);  47.544 (48);  98.853
50-59;  40.128 (50);  40.870 (50);  80.998
60-69;  21.184 (49);  22.388 (51);  43.572
70-79;  12.600 (50);  12.797 (50);  25.397
80-89;   5.425 (55);   4.409 (45);   9.834
90+;   1.739 (69);     797 (31);   2.536
I alt; 339.698 (50); 336.146 (50); 675.844
