Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.635.200; 163.471;   8.336;   1.371
Sjælland; 685.931;  44.371;   2.811;     414
Syddanmark;1.023.861;  49.101;   2.051;     231
Midtjylland;1.119.170;  63.332;   2.530;     368
Nordjylland; 515.005;  26.248;   1.096;     194
