Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.516 (48);  14.429 (52);  27.945
10-19;  29.654 (49);  30.772 (51);  60.426
20-29;  37.069 (49);  38.953 (51);  76.022
30-39;  24.691 (50);  24.733 (50);  49.424
40-49;  25.615 (53);  23.013 (47);  48.628
50-59;  22.138 (51);  21.540 (49);  43.678
60-69;  10.898 (48);  11.579 (52);  22.477
70-79;   6.369 (49);   6.560 (51);  12.929
80-89;   3.674 (57);   2.718 (43);   6.392
90+;   1.387 (70);     583 (30);   1.970
I alt; 175.011 (50); 174.880 (50); 349.891
