Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.614.454; 147.168;   7.833;   1.350
Sjælland; 676.196;  40.954;   2.691;     406
Syddanmark;1.008.802;  43.287;   1.896;     225
Midtjylland;1.102.912;  55.590;   2.349;     361
Nordjylland; 509.485;  22.805;   1.021;     191
