Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.628.987; 159.108;   8.165;   1.359
Sjælland; 682.932;  43.550;   2.775;     413
Syddanmark;1.019.217;  47.872;   2.012;     228
Midtjylland;1.114.810;  61.943;   2.482;     366
Nordjylland; 513.493;  25.782;   1.064;     193
